frame_id,png_path,frame_host_iso,h,w,log_host_iso,log_stm32_ts_us,log_text_utf8,host_dt_diff_ms,log_text_hex
1,C:\Users\28693\Desktop\udp\frames_png\frame_000001.png,48:05.3,120,188,,,,,
2,C:\Users\28693\Desktop\udp\frames_png\frame_000002.png,48:05.3,120,188,,,,,
3,C:\Users\28693\Desktop\udp\frames_png\frame_000003.png,48:05.4,120,188,,,,,
4,C:\Users\28693\Desktop\udp\frames_png\frame_000004.png,48:05.4,120,188,,,,,
5,C:\Users\28693\Desktop\udp\frames_png\frame_000005.png,48:05.5,120,188,,,,,
6,C:\Users\28693\Desktop\udp\frames_png\frame_000006.png,48:05.5,120,188,,,,,
7,C:\Users\28693\Desktop\udp\frames_png\frame_000007.png,48:05.5,120,188,,,,,
8,C:\Users\28693\Desktop\udp\frames_png\frame_000008.png,48:05.6,120,188,,,,,
9,C:\Users\28693\Desktop\udp\frames_png\frame_000009.png,48:05.6,120,188,,,,,
10,C:\Users\28693\Desktop\udp\frames_png\frame_000010.png,48:05.6,120,188,,,,,
11,C:\Users\28693\Desktop\udp\frames_png\frame_000011.png,48:05.7,120,188,,,,,
12,C:\Users\28693\Desktop\udp\frames_png\frame_000012.png,48:05.7,120,188,,,,,
13,C:\Users\28693\Desktop\udp\frames_png\frame_000013.png,48:05.7,120,188,,,,,
14,C:\Users\28693\Desktop\udp\frames_png\frame_000014.png,48:05.8,120,188,,,,,
15,C:\Users\28693\Desktop\udp\frames_png\frame_000015.png,48:05.8,120,188,,,,,
16,C:\Users\28693\Desktop\udp\frames_png\frame_000016.png,48:05.9,120,188,,,,,
17,C:\Users\28693\Desktop\udp\frames_png\frame_000017.png,48:05.9,120,188,,,,,
18,C:\Users\28693\Desktop\udp\frames_png\frame_000018.png,48:05.9,120,188,,,,,
19,C:\Users\28693\Desktop\udp\frames_png\frame_000019.png,48:05.9,120,188,,,,,
20,C:\Users\28693\Desktop\udp\frames_png\frame_000020.png,48:06.0,120,188,,,,,
